Name	CommonName	TaxID	Count	Rank	Group	Phylum	Class	Order	Family	Genus
Anas platyrhynchos	Mallard duck	8839	794	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Anas platyrhynchos	Mallard duck	8839	835	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Phasianus colchicus	Pheasant	9054	2597	species	Birds	Chordata	Aves	Galliformes	Phasianidae	Phasianus
Porphyrio melanotus	Pukeko	72013	49	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Anas platyrhynchos	Mallard duck	8839	1587	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Zosterops lateralis	Silvereye	43581	25	species	Birds	Chordata	Aves	Passeriformes	Zosteropidae	Zosterops
Larus dominicanus	Southern black-backed gull	37036	250	species	Birds	Chordata	Aves	Charadriiformes	Laridae	Larus
Turdus	Thrush	9186	67	genus	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Anas platyrhynchos	Mallard duck	8839	397	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Anas platyrhynchos	Mallard duck	8839	5547	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Porphyrio melanotus	Pukeko	72013	79	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Aythya novaeseelandiae	New Zealand scaup; black teal	2497792	216	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Aythya
Turdus	Thrush	9186	70	genus	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Columba livia	Pigeon	8932	1140	species	Birds	Chordata	Aves	Columbiformes	Columbidae	Columba
Turdus philomelos	Song thrush	127946	27	species	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Prosthemadera novaeseelandiae	Tui	266374	140	species	Birds	Chordata	Aves	Passeriformes	Meliphagidae	Prosthemadera
Branta canadensis	Canada goose	8853	20	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Branta
Columba livia	Pigeon	8932	45	species	Birds	Chordata	Aves	Columbiformes	Columbidae	Columba
Microcarbo melanoleucos	Little shag	146618	84	species	Birds	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Microcarbo
Anas platyrhynchos	Mallard duck	8839	305	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Sturnus vulgaris	Common starling	9172	9	species	Birds	Chordata	Aves	Passeriformes	Sturnidae	Sturnus
Fringilla coelebs	Common chaffinch	37598	28	species	Birds	Chordata	Aves	Passeriformes	Fringillidae	Fringilla
Phalacrocorax carbo	Black Shag	9209	118	species	Birds	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Phalacrocorax
