"HID","UID","Name","CommonName","TaxID","Count","Rank","Group","Phylum","Class","Order","Family","Genus"
12760186,401573,"Prostoma eilhardi","Freshwater ribbon worm",41366,46,"species","Other","Nemertea","Enopla","Monostilifera","Tetrastemmatidae","Prostoma"
56357479,519021,"Nuclearia","Amoeba",154967,7,"genus","Other",NA,NA,"Rotosphaerida","Nucleariidae","Nuclearia"
22003223,401216,"Prostoma eilhardi","Freshwater ribbon worm",41366,10,"species","Other","Nemertea","Enopla","Monostilifera","Tetrastemmatidae","Prostoma"
37679276,518827,"Neobodo","",312470,11,"genus","Other","Euglenozoa","Kinetoplastea","Neobodonida",NA,"Neobodo"
19618100,525570,"Coleochaete","",3123,10,"genus","Other","Streptophyta","Coleochaetophyceae","Coleochaetales","Coleochaetaceae","Coleochaete"
53225975,731603,"Chaetonotus","Gastrotrich",68038,9,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus"
11787630,400497,"Paracercomonas","Rhizarian",372085,12,"genus","Other","Cercozoa",NA,"Cercomonadida","Cercomonadidae","Paracercomonas"
36567629,536723,"Procryptobia","",266822,19,"genus","Other","Euglenozoa","Kinetoplastea","Parabodonida",NA,"Procryptobia"
56162928,722806,"Micronuclearia","",238745,13,"genus","Other",NA,NA,"Rigifilida",NA,"Micronuclearia"
13431638,506925,"Paracercomonas","Rhizarian",372085,5,"genus","Other","Cercozoa",NA,"Cercomonadida","Cercomonadidae","Paracercomonas"
56075928,722503,"Cercomonas","",45109,5,"genus","Other","Cercozoa",NA,"Cercomonadida","Cercomonadidae","Cercomonas"
32770823,529583,"Ophyiulus pilosus","Millipede",118470,8,"species","Other","Arthropoda","Diplopoda","Julida","Julidae","Ophyiulus"
31858968,704402,"Chaetonotus","Gastrotrich",68038,9,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus"
16501765,411036,"Neobodo","",312470,48,"genus","Other","Euglenozoa","Kinetoplastea","Neobodonida",NA,"Neobodo"
26989768,711953,"Nitella","",3148,271,"genus","Other","Streptophyta","Charophyceae","Charales","Characeae","Nitella"
25768399,709062,"unclassified Ramazzottius","",2685275,5,"no rank","Other","Tardigrada","Eutardigrada","Parachela","Ramazzottiidae","Ramazzottius"
28637442,700013,"Chara","",13778,23,"genus","Other","Streptophyta","Charophyceae","Charales","Characeae","Chara"
5575842,507934,"Nitella","",3148,5537,"genus","Other","Streptophyta","Charophyceae","Charales","Characeae","Nitella"
22205208,529717,"Woronina","",1484335,8,"genus","Other","Endomyxa","Phytomyxea","Plasmodiophorida","Plasmodiophoridae","Woronina"
26227792,709005,"Spongospora","",70185,21,"genus","Other","Endomyxa","Phytomyxea","Plasmodiophorida","Plasmodiophoridae","Spongospora"
56077723,722663,"Spongospora","",70185,5,"genus","Other","Endomyxa","Phytomyxea","Plasmodiophorida","Plasmodiophoridae","Spongospora"
13086096,401667,"Salpingoeca","",86017,30,"genus","Other",NA,"Choanoflagellata","Craspedida","Salpingoecidae","Salpingoeca"
2835102,504894,"Spirogyra","",3179,1464,"genus","Other","Streptophyta","Zygnemophyceae","Zygnematales","Zygnemataceae","Spirogyra"
2936297,504924,"Chaetonotus","Gastrotrich",68038,6,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus"
